1	7.90E+02	8.54E+00	1.17E+02	1	6.02E+02	47	6.64E+02
1	141	25	1.17E+02	1	158	47	6.64E+02
101	2298	39	289	164	12	67	266
105	376	144	5857	166	2053	107	4102
114	4105	2975	6117	168	2615	129	4205
124	4105	2975	6414	170	3084	153	4231
130	4105	2975	6414	172	3458	214	4267
136	4105	2975	6414	176	3568	2055	4305
142	3965	2585	6414	179	36	2702	4337
150	3895	948	4982	182	363	2809	4337
160	3859	869	4852	184	363	2809	4337
182	3825	856	4821	186	363	2809	4337
223	388	12	4817	188	363	2809	4337
255	317	11	2669	190	363	2809	4337
266	299	1	897	190	363	2809	4337
290	299	1	863	194	363	2809	4337
314	299	1	863	196	363	2809	4337
316	299	1	863	199	363	2809	4337
320	299	1	863	202	363	2809	4337
323	299	1	863	211	363	2809	4337
335	299	1	863	220	363	2809	4337
352	299	1	863	222	363	2809	4337
362	299	1	863	225	363	2809	4337
370	299	1	863	228	363	2809	4337
392	299	1	863	234	3631	2809	4337
417	299	1	863	240	3635	2825	4344
464	299	1	863	244	3635	2825	4344
505	6945	373	863	245	3648	2825	4344
512	894	516	11194	246	3648	2825	4362
516	9762	8067	11783	250	365	2803	4362
522	9762	8067	11984	252	3649	2726	4368
524	9762	8067	11984	254	3592	1868	4387
528	9762	8067	11984	254	3481	1666	4368
534	9762	8067	11984	256	3324	1658	4337
544	9762	8067	11984	258	3196	1602	4272
552	9762	8067	11984	260	2814	1496	4267
556	9762	8067	11984	268	2399	1448	4144
560	9736	8057	11984	276	2208	1266	3838
562	9403	746	11866	280	2031	1211	3804
564	8516	688	11817	284	1898	1072	3516
566	6915	667	11727	285	1793	1019	3431
567	5183	417	11727	288	1734	97	3353
568	343	297	11334	291	1687	736	3277
570	188	215	10919	296	162	661	3246
572	1326	181	10419	302	1572	581	305
614	613	143	10178	310	1522	476	2247
688	613	143	805	316	152	476	1949
722	613	143	805	318	1518	476	1948
802	613	143	805	320	1517	476	1946
894	649	186	805	326	1517	476	1946
930	702	281	961	332	1517	476	1946
956	745	327	1048	333	1517	476	1946
963	768	411	1063	337	1517	476	1946
982	791	664	1065	340	1519	482	1946
1000	792	664	1066	349	1544	581	1946
1006	792	664	1066	358	1584	709	2032
1017	793	664	1066	358	1613	843	2496
1023	793	664	107	362	1652	1031	2535
1024	794	665	107	370	1663	1096	2545
1028	794	665	1071	376	1666	1106	2547
1051	794	665	1071	381	1676	1117	2555
1072	794	665	1071	384	1693	1134	2557
1084	794	665	1071	386	1735	1178	2626
1096	794	667	1071	389	1758	1192	2641
1098	794	667	1071	392	1791	1202	2648
1130	794	667	1071	393	1826	1215	2658
1160	794	667	1071	394	1865	1251	266
1162	794	667	1071	396	1908	1276	266
1166	794	667	1071	400	1935	1291	2672
1169	794	667	1071	404	1988	1337	2679
1188	794	667	1071	409	2032	1414	2699
1221	794	667	1071	416	2071	1443	2709
1242	794	667	1071	423	2103	145	272
1248	794	667	1071	428	2129	1465	2727
1278	794	667	1071	430	2148	1479	2728
1308	794	667	1071	432	2174	1483	2736
1310	794	667	1071	436	2194	1488	2765
1312	794	667	1071	440	2221	1488	2786
1312	794	667	1071	446	2247	1493	281
1388	794	667	1071	452	2297	1564	2816
1465	794	667	1071	456	2365	1617	2937
1478	794	667	1071	458	2431	1673	3024
1490	794	667	1071	461	2488	1687	3035
1493	794	667	1071	462	2526	1692	3045
1502	794	667	1071	464	2551	1701	3058
1546	794	667	1071	464	2578	1729	3064
1586	974	668	1071	467	2599	1753	3069
1590	1369	673	3521	472	2616	1771	3069
1592	1865	676	3909	476	2639	1788	3074
1596	2467	687	425	482	2664	1921	3074
1604	3088	717	4474	490	269	2399	3077
1610	3384	741	4669	494	2694	24	3085
1620	3639	2517	4766	496	2695	2402	3085
1630	366	2579	4974	500	2695	2402	3085
1634	366	2579	5014	507	2695	2402	3085
1652	366	2579	5014	513	2695	2402	3085
1670	3626	2512	5014	518	2695	2402	3085
1673	3581	2372	4963	522	2695	2402	3085
1688	3381	214	4874	525	2695	2402	3085
1704	162	148	4645	528	2695	2402	3085
1712	1044	137	4268	530	2695	2402	3085
1726	651	136	3698	532	2695	2402	3085
1746	474	13	3433	536	2695	2402	3085
1758	354	124	3217	539	2695	2402	3085
1763	275	124	3062	542	2695	2402	3085
