1	8,5263E+01	7,5789E+01	3,89284E+03
34	576	82	3,89284E+03
82	1351	164	1633
86	1994	261	2864
88	2264	326	2872
88	2518	443	2872
91	2661	1387	2872
96	2707	158	2872
100	2717	1622	2877
102	2724	1632	2877
104	2725	1633	2877
107	2727	1634	2877
108	2727	1634	2877
110	273	1647	2877
112	2732	1744	2877
116	2742	209	2877
118	2753	2163	2877
120	2759	2606	2877
124	2764	2634	2877
128	2765	2641	2877
129	2767	2658	2877
132	2768	2663	2877
136	2768	2663	2877
141	277	2663	2877
148	2772	2663	2877
150	2774	2663	2877
152	2774	2663	2877
154	2774	2663	2877
156	2774	2663	2877
160	2774	2663	2877
160	2774	2663	2877
162	2774	2663	2877
162	2774	2663	2877
164	2774	2663	2877
166	2774	2663	2877
174	2774	2663	2877
183	2774	2663	2877
187	2774	2663	2877
190	2774	2663	2877
192	2774	2663	2877
196	2774	2663	2877
203	2774	2663	2877
208	2774	2663	2877
216	2774	2663	2877
224	2774	2663	2877
224	2774	2663	2877
226	2774	2663	2877
233	2774	2663	2877
238	2774	2663	2877
240	2774	2663	2877
244	2774	2663	2877
246	2774	2663	2877
248	2774	2663	2877
256	2774	2663	2877
264	2774	2663	2877
266	2774	2663	2877
270	2774	2663	2877
276	2774	2663	2877
280	2774	2663	2877
285	2774	2663	2877
288	2774	2663	2877
290	2774	2663	2877
293	2774	2663	2877
296	2774	2663	2877
297	2774	2663	2877
298	2774	2663	2877
300	2774	2663	2877
300	2774	2663	2877
302	2774	2663	2877
306	2774	2663	2877
308	2774	2663	2877
313	2774	2663	2877
324	2774	2663	2877
332	2774	2663	2877
334	2774	2663	2877
340	2774	2663	2877
348	2774	2663	2877
352	2774	2663	2877
356	2774	2663	2877
360	2774	2663	2877
364	2774	2663	2877
364	2774	2663	2877
366	2774	2663	2877
368	2774	2663	2877
372	2774	2663	2877
376	2774	2663	2877
382	2774	2663	2877
390	2774	2663	2877
394	2774	2663	2877
397	2774	2663	2877
402	2774	2663	2877
408	2774	2663	2877
414	2774	2663	2877
419	2774	2663	2877
422	2774	2663	2877
426	2774	2663	2877
430	2774	2663	2877
430	2774	2663	2877
433	2774	2663	2877
436	2774	2663	2877
440	2774	2663	2877
442	2774	2663	2877
444	2774	2663	2877
446	2774	2663	2877
449	2774	2663	2877
452	2774	2663	2877
454	2774	2663	2877
462	2774	2663	2877
470	2774	2663	2877
472	2774	2663	2877
